name;surname;phone
Dauren;Abildin;+77081111234
Aruzhan;Toktagan;+77081111345
Beknur;Sultan;+77081111456
Dana;Kazbekova;+77081111567
Erkin;Abdirashov;+77081111678
Gulnaz;Smagulova;+77081111789
Jamal;Uzakov;+77081111890
Karlygash;Yerkinova;+77081111901
Marat;Alimzhanov;+77081112012
Nurzhan;Erlan;+77081112123
Baurzhan;Saken;+77081112234
Aigerim;Aitkulova;+77081112345
Bakdaulet;Nursultanov;+77081112456
Zhanat;Talgat;+77081112567
Almas;Altynbek;+77081112678
Assel;Yerzhan;+77081112789
Dias;Akbota;+77081112890
Zhanel;Alina;+77081112901
Marzhan;Akhmet;+77081113012
Nurgul;Miras;+77081113123
Ainur;Daulet;+77081113234
Askar;Kamila;+77081113345
Bakytzhan;Gaukhar;+77081113456
Zhansaya;Bekzhan;+77081113567
Alisher;Aruzhan;+77081113678
Kamshat;Madi;+77081113789
Murat;Marzhan;+77081113890
Nargiza;Nurzhan;+77081113901
Rinat;Zarina;+77081114012
Abylaikhan;Aliya;+77081114123
Alikhan;Rinat;+77081114234
Aruzhan;Aida;+77081114345
Bakhytzhan;Aigerim;+77081114456
Zhanna;Bakhyt;+77081114567
Assiya;Zhanna;+77081114678
Aruzhan;Azamat;+77081114789
Dauren;Saniya;+77081114890
Erzhan;Bibigul;+77081114901
Gulnaz;Gaukhar;+77081115012
Jamal;Kamshat;+77081115123
Karlygash;Aibek;+77081115234
Marat;Bauyrzhan;+77081115345
Nurzhan;Dauren;+77081115456
Ainur;Miras;+77081115567
Assel;Zhuldyz;+77081115678
Dias;Zarina;+77081115789
Zhanel;Marat;+77081115890
Marzhan;Aidana;+77081115901
Nurgul;Zhanar;+77081116012
Aigerim;Nurbolat;+77081116123
Askar;Bekbolat;+77081116234
Bakytzhan;Kairat;+77081116345
Zhansaya;Aruzhan;+77081116456
Alisher;Bauyrzhan;+77081116567
Kamshat;Aidana;+77081116678
Murat;Zhanbolat;+77081116789
Nargiza;Miras;+77081116890
Rinat;Aruzhan;+77081116901
Abylaikhan;Akmaral;+77081117012
Alikhan;Zhuldyz;+77081117123
Aruzhan;Aigerim;+77081117234
Bakhytzhan;Bakdaulet;+77081117345
Zhanna;Dauren;+77081117456
Assiya;Akbota;+77081117567
Aruzhan;Alina;+77081117678
Dauren;Nurzhan;+77081117789
Erzhan;Miras;+77081117890
Gulnaz;Zhuldyz;+77081117901
Jamal;Aruzhan;+77081118012
Karlygash;Akmaral;+77081118123
Marat;Zhuldyz;+77081118234
Nurzhan;Nurzhan;+77081118345
Ainur;Zhuldyz;+77081118456
Assel;Nurzhan;+77081118567
Dias;Aruzhan;+77081118678
Zhanel;Akbota;+77081118789
Marzhan;Alina;+77081118890
Nurgul;Nurzhan;+77081118901
Aigerim;Zhuldyz;+77081119012
Askar;Aruzhan;+77081119123
Bakytzhan;Akbota;+77081119234
Zhansaya;Alina;+77081119345
Alisher;Nurzhan;+77081119456
Kamshat;Zhuldyz;+77081119567
Murat;Aruzhan;+77081119678
Nargiza;Akbota;+77081119789
Rinat;Alina;+77081119890
Abylaikhan;Nurzhan;+77081119901
Alikhan;Zhuldyz;+77081120012
Aruzhan;Akbota;+77081120123
Bakhytzhan;Alina;+77081120234
Zhanna;Nurzhan;+77081120345
Assiya;Aruzhan;+77081120456
Aruzhan;Akbota;+77081120567
Dauren;Alina;+77081120678
Erzhan;Nurzhan;+77081120789
Gulnaz;Zhuldyz;+77081120890
Jamal;Aruzhan;+77081120901
Karlygash;Akbota;+77081121012
Marat;Alina;+77081121123
Nurzhan;Nurzhan;+77081121234
Ainur;Zhuldyz;+77081121345
Assel;Nurzhan;+77081121456
Dias;Aruzhan;+77081121567
Zhanel;Akbota;+77081121678
Marzhan;Alina;+77081121789
Nurgul;Nurzhan;+77081121788
